Title,First author,Disorder,Subjects_Raw,diseased_all,diseased_male,diseased_female,control_all,control_male,control_female,Clinical assessment,assessment_category,assessment_scale,Tasks,Notes,Year,(Single) or (m)ultiple tasks,feature_extraction_aggregated,ml_aggregated,crossvalidation_aggregated
Assessing an Application of Spontaneous Stressed Speech - Emotions Portal,"Palacios-Alonso, D., 2019",Stress,"0 D
32 C",,,,32,,,Self,self,,FS,"* Stress elicitation by defending the own oppinion on a cntroversial topic
* Introduction of a framework and not analysis",2019,s,,,
Towards Predicting Physiology from Speech During Stressful Conversations: Heart Rate and Respiratory Sinus Arrhythmia,"Jati, A., 2018",Stress,"0 D
60 C (30 M 30 F)",,,,60,30,30,Physiological signals,,,FS,Couples interaction about relationship problem,2018,s,"openSMILE, VOICEBOX","Statistical Analysis, DT",5-fold-CV
An audio-visual dataset of human-human interactions in stressful situations,"Lefter, I., 2014",Stress,"0 D
60 C (30 M 30 F)",,,,60,30,30,Raters,,,FS,4 stressfull service desk interatction scenraios,2014,s,,Statistical Analysis,
Modeling drivers' speech under stress,"Fernandez, R., 2003",Stress,"0 D
4 C",,,,4,,,Experiment condition,,,FS,Driving in driving simulator while solving math questions,2003,s,custom,"HMM, SVM, ANN",CV
An Assessment of Paralinguistic Acoustic Features for Detection of Alzheimer's Dementia in Spontaneous Speech,"Haider, F., 2020",AD,"82 D (36 M 46 F)
82 C (36 M 46 F)",82,36,46,82,36,46,"Clinical:
MMSE, doctor",clinical,MMSE,FS,Several free speech tasks,2020,s,openSMILE,"DT, LDA, SVM",LOSO
Investigating the Effect of Audio Duration on Dementia Detection using Acoustic Features,"Weiner, Jochen, et al. 2018",AD,"71 D
268 C",71,,,268,,,"Clinical:
Doctor",clinical,doctor,FS,"Free speech: biographic interviews
71 participants when adding numbers in table vs 74 participants in text",2018,s,custom,"GMM, HMM, regression",
"Longitudinal Monitoring and Detection of Alzheimer’s Type Dementia from Spontaneous Speech Data
The natural history of Alzheimer’s disease: Description of study cohort and accuracy of diagno- sis
Pitt Corpus","Saturnino Luz 2017
Becker 1994",AD,"214 D
184 C",214,,,184,,,"Clinical:
Doctor",clinical,doctor,FS,"* Spontaneous speech (more tasks might be availalbe in the original dataset
* Original dataset referenced – use that instead
* In original dataset: no mention of speech recording; only on dementioabank webiste: some infos… add this later in detail",2017,s,custom,GMM,10-fold-CV
Objectively Monitoring Amyotrophic Lateral Sclerosis Patient Symptoms During Clinical Trials With Sensors: Observational Study,"Garcia-Gancedo, L., K. 2019",ALS,25 D (21 M 4 F),25,21,4,,,,"Clinical:
Doctor",clinical,doctor,"SV, RS","""Change from baseline values at Week 48 were low for all speech end points studied, with no obvious pattern of change over time""",2019,m,,,
Towards Automatic Detection of Amyotrophic Lateral Sclerosis from Speech Acoustic and Articulatory Samples,"Wang, J., 2016",ALS,"11 D
11 C",11,,,11,,,"Clinical:
SIT",clinical,SIT,"SV, RS",Compared acoustic features with articulatory movements. Performance was boosted when supplenmenting acoustic features with articulatory ones,2016,m,"openSMILE, VOICEBOX, Praat","SVM, k-NN, DT",
Automatic Early Detection of Amyotrophic Lateral Sclerosis from Intelligible Speech Using Convolutional Neural Networks,"An, K., 2018",ALS,"13 D (4 M 9 F)
13 C (5 M 8 F)",13,4,9,13,5,8,"Clinical:
SIT, doctor",clinical,"SIT, doctor",RS,ASR related sentences,2018,s,openSMILE,"ANN, ANN: CNN",
Voice Therapy Used to Test a Basic Protocol for Multidimensional Assessment of Dysphonia,"Rodriguez-Parra, M.J., 2009","Aphasia, dysarthria and dysphonia","21 D (3 M 18 F)
21 C (3 M 18 F)",21,3,18,21,3,18,"Clinical:
Doctor",clinical,doctor,"SV, RS, FS",‘‘Teatinos’’ Protocol with many clinical assessments,2009,m,custom,Statistical Analysis,
Making sense of progressive non-fluent aphasia: an analysis of conversational speech,"Knibb, J.A., 2009","Aphasia, dysarthria and dysphonia","15 D (9M 6F)
15 C (8 M 7 F)",15,9,6,15,8,7,"Clinical:
Mesulam’s criteria for primary progressive aphasia",clinical,Mesulam,FS,Semi-structured conversation of 15–20 min,2009,s,custom,,
Word frequency and bigram frequency effects on linguistic processing and speech motor performance in individuals with aphasia and normal speakers,"Bose, A., 2007","Aphasia, dysarthria and dysphonia","8 D (5 M 3 F)
10 C (2 M 3 F)",8,5,3,10,2,3,"Clinical:
Doctor",clinical,doctor,RS, four sets of monosyllabic words,2007,s,Praat,Statistical Analysis,
Acoustic characteristics of the question-statement contrast in severe dysarthria due to cerebral palsy,"Patel, R., 2003. ","Aphasia, dysarthria and dysphonia","8 D (2 F 6 M)
8 C (2 F 6 M)",8,2,6,8,2,6,"Clinical:
Intelligibility of Dysarthric Speech",clinical,intelligbility,RS,Dysathria? Produced 10 phrases spoken as a question and the same 10 phrases spoken as a statement,2003,s,Praat,Statistical Analysis,
The PRIORI Emotion Dataset: Linking Mood to Emotion Detected In-the-Wild,Khorram 2018,Bipolar,"51 D
9 C",51,,,9,,,"Clinical:
Assessment calls",clinical,calls,FS,one-sided natural conversations recorded during daily smartphone usage,2018,s,openSMILE,ANN,CV
Classification of bipolar disorder episodes based on analysis of voice and motor activity of patients,"Maxhuni, A., 2016",Bipolar,"10 D (1 M 9 F)
0 C",10,1,9,,,,"Clinical:
HAMD, ADS, YRMS, MSS
Self:
Questionnaires

Clinical
Hamilton Depression Scale, Common Depression Scale,  Young Mania Rating Scale, Mania Self-Rating Scale
Self:
Questionnaires",self,questionnaires,FS,Smartphone conversations,2016,s,openSMILE,"RF, SVM, k-NN, other ML",10-fold-CV
